fold,held_out_subject,init_mode,best_epoch,best_val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,n_test
1,YAC,random,15,0.4944142367134957,0.6632947976878613,0.4989130434782609,0.3987836663770634,692
2,YAG,random,1,0.5261939494503075,0.6206543967280164,0.4988496071829405,0.4670878992566743,978
3,YAK,random,1,0.5333795462872619,0.4950980392156863,0.5392383397518186,0.4896903460837887,816
4,YDG,random,24,0.5312785681784549,0.4336372847011145,0.5148109940313905,0.43025920261711925,987
5,YDR,random,20,0.5233698579062926,0.49643947100712105,0.5407499326101708,0.4954285412084579,983
6,YFR,random,2,0.535745526087109,0.5797788309636651,0.49173049951451075,0.4691204661252081,633
7,YFS,random,9,0.5404593896984154,0.6576763485477178,0.5078220762295121,0.4458612040133779,964
8,YHS,random,16,0.4888728804666211,0.6195761856710393,0.49400540357987166,0.4589177689176096,991
9,YIS,random,25,0.5173763397170442,0.6511627906976745,0.5713103555775614,0.5716975566281092,989
10,YLS,random,2,0.5188008801452344,0.6131687242798354,0.5336320318611762,0.5314149148404765,972
11,YMD,random,20,0.5309775399037034,0.5228690228690228,0.5301530631990402,0.5117771740752903,962
12,YMS,random,3,0.5387344766410408,0.588659793814433,0.46607347079399564,0.43404338079493926,970
13,YRH,random,15,0.5694433566331071,0.6004784688995215,0.584271022383545,0.5767358100446875,836
14,YRK,random,24,0.5219754246366108,0.4497907949790795,0.5414504716981132,0.4444194011711413,956
15,YRP,random,1,0.521926296233235,0.6608247422680412,0.49767080745341613,0.3978895096213532,970
16,YSD,random,16,0.5072318413827862,0.564206268958544,0.4991564431240946,0.4984934531982206,989
17,YSL,random,12,0.5431757808463905,0.4620123203285421,0.5223203977286115,0.46186710529090486,974
18,YTL,random,3,0.524577610225343,0.6588594704684317,0.5210438611598561,0.4770642347671134,982
