precision,recall
0.6648041336217255,1.0
0.6648239394303569,0.9999096249435155
0.6648037978486869,0.9998192498870312
0.664823607187932,0.9997288748305467
0.664843421289896,0.9996384997740624
0.6648632401562969,0.9995481247175779
0.6648830637888535,0.9994577496610936
0.6649028921892851,0.9993673746046091
0.6649227253593121,0.9992769995481248
0.6649425633006556,0.9991866244916403
0.6649624060150376,0.9990962494351558
0.6649822535041809,0.9990058743786715
0.6650021057698092,0.998915499322187
0.665021962813647,0.9988251242657027
0.6650418246374196,0.9987347492092182
0.6650616912428529,0.9986443741527339
0.665081562631674,0.9985539990962494
0.6651014388056108,0.9984636240397651
0.6651213197663917,0.9983732489832806
0.6651412055157464,0.9982828739267962
0.665161096055405,0.9981924988703118
0.6651809913870987,0.9981021238138273
0.6652008915125595,0.998011748757343
0.6651807228915663,0.9979213737008585
0.6652006265815158,0.9978309986443742
0.6652205350686913,0.9977406235878897
0.6652404483548271,0.9976502485314054
0.6652603664416586,0.9975598734749209
0.6652802893309222,0.9974694984184365
0.6653002170243549,0.9973791233619521
0.6653201495236947,0.9972887483054677
0.6653400868306801,0.9971983732489833
0.665360028947051,0.9971079981924988
0.6653398468126168,0.9970176231360145
0.6653597925085952,0.99692724807953
0.6653797430174337,0.9968368730230457
0.6653996983408748,0.9967464979665612
0.6654196584806613,0.9966561229100768
0.6653994689838282,0.9965657478535924
0.6654194327097164,0.996475372797108
0.6654394012554321,0.9963849977406236
0.6654593746227212,0.9962946226841392
0.6654793528133301,0.9962042476276548
0.6654993358290061,0.9961138725711703
0.6655193236714976,0.996023497514686
0.6655393163425535,0.9959331224582015
0.6655593138439236,0.9958427474017171
0.665579316177359,0.9957523723452327
0.6655591131516946,0.9956619972887483
0.6655791190864601,0.9955716222322639
0.6655991298567889,0.9954812471757795
0.6656191454644347,0.9953908721192951
0.6656391659111514,0.9953004970628107
0.6656591911986943,0.9952101220063263
0.6656792213288193,0.9951197469498418
0.6656590084643289,0.9950293718933574
0.6656992563032832,0.9950293718933574
0.6657192961238435,0.994938996836873
0.6657393407922588,0.9948486217803886
0.6657593903102885,0.9947582467239042
0.6657391725139125,0.9946678716674198
0.6657189522714899,0.9945774966109354
0.6657390041744812,0.994487121554451
0.6657590609305984,0.9943967464979666
0.665738835773932,0.9943063714414822
0.665758896151053,0.9942159963849977
0.6657386673122314,0.9941256213285133
0.6657789613848203,0.9941256213285133
0.665758731311664,0.9940352462720289
0.6657384987893462,0.9939448712155445
0.6657585664123986,0.9938544961590601
0.6657383302052431,0.9937641211025757
0.6657584014532243,0.9936737460460913
0.6657381615598886,0.9935833709896069
0.6657784775631321,0.9935833709896069
0.6657985585367331,0.9934929959331225
0.665778316172017,0.993402620876638
0.6657984007753817,0.9933122458201536
0.6658184902459712,0.9932218707636692
0.665838584585555,0.9931314957071848
0.6658183360601103,0.9930411206507004
0.665838434034301,0.992950745594216
0.6658585368810231,0.9928603705377316
0.6658786446020488,0.9927699954812472
0.6658583899127061,0.9926796204247628
0.6658987571991513,0.9926796204247628
0.6659188746741042,0.9925892453682783
0.6659389970286823,0.992498870311794
0.6659591242646613,0.9924084952553095
0.6659792563838176,0.9923181201988251
0.665958995511343,0.9922277451423407
0.6659387321807704,0.9921373700858563
0.6659184663916525,0.9920469950293719
0.6659385996845043,0.9919566199728875
0.6659587378640777,0.9918662449164031
0.6659384671399964,0.9917758698599186
0.6659181939555772,0.9916854948034343
0.665897918310372,0.9915951197469498
0.665877640203933,0.9915047446904655
0.6658573596358118,0.991414369633981
0.6658370766055602,0.9913239945774966
0.66581679111273,0.9912336195210122
0.6657965031568722,0.9911432444645278
0.6658166363084396,0.9910528694080434
0.6657963446475196,0.9909624943515589
0.6657760505222249,0.9908721192950746
0.6657961860804081,0.9907817442385901
0.6658163265306123,0.9906913691821058
0.6657960274555063,0.9906009941256213
0.6658161715570136,0.990510619069137
0.6658363205541041,0.9904202440126525
0.6658564744485629,0.9903298689561681
0.6658766332421756,0.9902394938996837
0.6658563267290628,0.9901491188431992
0.6658764891806467,0.9900587437867149
0.6658561789556866,0.9899683687302304
0.6658763450665693,0.9898779936737461
0.6658560311284046,0.9897876186172616
0.6658357147200097,0.9896972435607773
0.665815395840934,0.9896068685042928
0.6658355631233277,0.9895164934478085
0.6658557353120058,0.989426118391324
0.6658354114713217,0.9893357433348395
0.6658150851581508,0.9892453682783552
0.6657947563720421,0.9891549932218707
0.6658149297317029,0.9890646181653864
0.6657945972256023,0.9889742431089019
0.6658147742485092,0.9888838680524176
0.6658349561830574,0.9887934929959331
0.6658551430310408,0.9887031179394488
0.6658348043094527,0.9886127428829643
0.6658144631117604,0.9885223678264798
0.6658346523803725,0.9884319927699955
0.6658143074581431,0.988341617713511
0.665793960058451,0.9882512426570267
0.6657736101808439,0.9881608676005422
0.665753257824869,0.9880704925440579
0.6657329029900737,0.9879801174875734
0.6657125456760049,0.9878897424310891
