fpr,tpr
0.0,0.0
0.0,9.03750564844103e-05
0.0,0.00307275192046995
0.0001792435920415845,0.0031631269769543608
0.0001792435920415845,0.0035246272028920016
0.000358487184083169,0.0036150022593764122
0.000358487184083169,0.004699502937189336
0.000716974368166338,0.0048802530501581565
0.000716974368166338,0.005241753276095797
0.0008962179602079225,0.0053321283325802075
0.0008962179602079225,0.005693628558517849
0.0012547051442910915,0.00587437867148667
0.0012547051442910915,0.00605512878445549
0.0016131923283742606,0.0062358788974243105
0.0016131923283742606,0.006597379123361952
0.001792435920415845,0.006687754179846362
0.001792435920415845,0.006778129236330773
0.00197167951245743,0.006868504292815183
0.00197167951245743,0.006958879349299593
0.0021509231044990144,0.007049254405784003
0.0021509231044990144,0.007139629462268414
0.0023301666965405985,0.0072300045187528245
0.0023301666965405985,0.007320379575237235
0.002509410288582183,0.007410754631721645
0.002509410288582183,0.0076818798011748755
0.0026886538806237675,0.007772254857659286
0.0026886538806237675,0.0087663804789878
0.002867897472665352,0.008856755535472209
0.002867897472665352,0.00894713059195662
0.0030471410647069366,0.00903750564844103
0.0030471410647069366,0.009218255761409852
0.00358487184083169,0.009489380930863081
0.00358487184083169,0.009579755987347493
0.0037641154328732747,0.009670131043831902
0.0037641154328732747,0.009941256213285133
0.0037641154328732747,0.010122006326253954
0.0037641154328732747,0.010483506552191595
0.004301846208998029,0.010754631721644826
0.004301846208998029,0.010845006778129237
0.004839576985122782,0.011116131947582467
0.004839576985122782,0.011387257117035698
0.005018820577164366,0.011477632173520108
0.005018820577164366,0.011568007230004519
0.00555655135328912,0.01183913239945775
0.00555655135328912,0.012200632625395391
0.005735794945330704,0.0122910076818798
0.005735794945330704,0.012833258020786264
0.005915038537372289,0.012923633077270673
0.005915038537372289,0.013104383190239493
0.006094282129413873,0.013194758246723904
0.006094282129413873,0.013285133303208314
0.006273525721455458,0.013375508359692725
0.006273525721455458,0.013827383642114777
0.006452769313497042,0.013917758698599186
0.006452769313497042,0.014369633981021238
0.006632012905538627,0.014460009037505649
0.006632012905538627,0.014550384093990058
0.00716974368166338,0.01482150926344329
0.00716974368166338,0.015363759602349751
0.0075282308657465494,0.015544509715318571
0.0075282308657465494,0.015815634884771803
0.007707474457788134,0.015906009941256214
0.007707474457788134,0.016086760054225033
0.00788671804982972,0.016177135110709444
0.00788671804982972,0.016357885223678266
0.008065961641871303,0.016448260280162674
0.008065961641871303,0.016719385449615907
0.008245205233912888,0.016719385449615907
0.008245205233912888,0.016809760506100318
0.008424448825954473,0.016809760506100318
0.008424448825954473,0.016900135562584725
0.008603692417996057,0.016990510619069137
0.008603692417996057,0.017080885675553548
0.008962179602079226,0.017261635788522366
0.008962179602079226,0.017713511070944418
0.009320666786162394,0.01789426118391324
0.009320666786162394,0.018617261635788522
0.009499910378203979,0.018707636692272933
0.009499910378203979,0.018798011748757344
0.010037641154328732,0.019069136918210574
0.010037641154328732,0.019159511974694985
0.010216884746370317,0.019249887031179396
0.010216884746370317,0.019521012200632626
0.010396128338411902,0.019611387257117037
0.010396128338411902,0.019792137370085856
0.010575371930453487,0.019882512426570267
0.010575371930453487,0.02006326253953909
0.01075461552249507,0.020153637596023496
0.010933859114536655,0.020153637596023496
0.010933859114536655,0.02033438770899232
