fold,held_out_subject,best_epoch,best_val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,n_test
1,YAC,3,0.49046420709769695,0.6647398843930635,0.5,0.3993055555555556,692
2,YAG,19,0.515818431911967,0.6595092024539877,0.5415544332210999,0.5201891698772017,978
3,YAK,39,0.5276341626816365,0.5526960784313726,0.4614676936243047,0.46071517164083164,816
4,YDG,20,0.543263417413138,0.6453900709219859,0.5191953430108319,0.4881918928529098,987
5,YDR,11,0.5434581591016164,0.6653102746693794,0.5,0.39951130116065975,983
6,YFR,10,0.5358855169814098,0.636650868878357,0.5,0.388996138996139,633
7,YFS,6,0.5532887896510702,0.66701244813278,0.5,0.4001244555071562,964
8,YHS,45,0.5194646359755394,0.6639757820383451,0.5,0.39902971497877504,991
9,YIS,46,0.5312576272544798,0.6592517694641051,0.5155645412701032,0.4607965107155395,989
10,YLS,42,0.5281722541195628,0.6275720164609053,0.49397624635516674,0.44837489888190035,972
11,YMD,1,0.5256329013317314,0.6559251559251559,0.49603312821703627,0.40181659355832544,962
12,YMS,16,0.5181448996672267,0.6237113402061856,0.47451921466544805,0.4062861062061171,970
13,YRH,40,0.5335605809972241,0.5322966507177034,0.5503327283726558,0.5256445047489824,836
14,YRK,49,0.5173770036179868,0.41841004184100417,0.5232999213836478,0.4060333537454799,956
15,YRP,16,0.5210665538038303,0.6608247422680412,0.5173617726631864,0.46272511317740195,970
16,YSD,13,0.5091313191179838,0.6521739130434783,0.4945925253525517,0.40821296373604965,989
17,YSL,34,0.521521263161101,0.37782340862423,0.4691783888221296,0.36723413379073755,974
18,YTL,29,0.5372553111620848,0.6629327902240326,0.5165660477478274,0.45890813447308626,982
