bin_left,bin_right,mean_pred,empirical_pos_rate,count
0.0,0.1,0.08434704691171646,0.768595041322314,121
0.1,0.2,0.15797285735607147,0.6867088607594937,632
0.2,0.30000000000000004,0.24878829717636108,0.6346153846153846,624
0.30000000000000004,0.4,0.35260969400405884,0.6362068965517241,580
0.4,0.5,0.45132219791412354,0.64075382803298,849
0.5,0.6000000000000001,0.557086706161499,0.6323422770123278,1379
0.6000000000000001,0.7000000000000001,0.6531052589416504,0.6362896663954435,2458
0.7000000000000001,0.8,0.750728964805603,0.6740059152152481,3043
0.8,0.9,0.8502762913703918,0.6732441471571906,2990
0.9,1.0,0.946442723274231,0.6877520161290323,3968
