fpr,tpr
0.0,0.0
0.0,9.03750564844103e-05
0.0,0.0001807501129688206
0.0005377307761247536,0.00045187528242205153
0.0005377307761247536,0.0005422503389064618
0.0010754615522495072,0.0008133755083596927
0.0012547051442910915,0.0009941256213285134
0.0012547051442910915,0.0010845006778129236
0.0016131923283742606,0.0013556258472661546
0.0016131923283742606,0.001536375960234975
0.001792435920415845,0.0017171260732037957
0.00197167951245743,0.0018075011296882061
0.002509410288582183,0.002169001355625847
0.002867897472665352,0.002349751468594668
0.002867897472665352,0.0025305015815634884
0.0030471410647069366,0.0028016267510167195
0.003226384656748521,0.0028920018075011297
0.003226384656748521,0.00298237686398554
0.0034056282487901057,0.00307275192046995
0.0034056282487901057,0.0031631269769543608
0.004122602616956444,0.0035246272028920016
0.004122602616956444,0.0036150022593764122
0.004481089801039613,0.0037957523723452327
0.004481089801039613,0.004157252598282874
0.004660333393081197,0.004338002711251694
0.005377307761247535,0.004699502937189336
0.00555655135328912,0.0048802530501581565
0.00555655135328912,0.004970628106642567
0.005735794945330704,0.005061003163126977
0.005735794945330704,0.005151378219611387
0.006094282129413873,0.0053321283325802075
0.006094282129413873,0.005422503389064619
0.006273525721455458,0.005512878445549029
0.006811256497580211,0.005784003615002259
0.006811256497580211,0.00587437867148667
0.00716974368166338,0.00605512878445549
0.007348987273704965,0.0061455038409399
0.0075282308657465494,0.0063262539539087215
0.00788671804982972,0.006507004066877542
0.008424448825954473,0.006778129236330773
0.008603692417996057,0.006868504292815183
0.008603692417996057,0.006958879349299593
0.008962179602079226,0.007139629462268414
0.009320666786162394,0.007320379575237235
0.009499910378203979,0.007591504744690465
0.010216884746370317,0.007953004970628107
0.010216884746370317,0.008043380027112516
0.01075461552249507,0.008314505196565748
0.01075461552249507,0.008404880253050159
0.011471589890661408,0.0087663804789878
0.011471589890661408,0.008856755535472209
0.012367807850869331,0.009308630817894261
0.012726295034952501,0.009489380930863081
0.012726295034952501,0.009670131043831902
0.01308478221903567,0.009850881156800722
0.013981000179243593,0.010302756439222774
0.01433948736332676,0.010483506552191595
0.01469797454740993,0.010664256665160415
0.014877218139451514,0.010845006778129237
0.015056461731493099,0.010935381834613647
0.015056461731493099,0.011116131947582467
0.015414948915576269,0.011296882060551287
0.015594192507617852,0.011387257117035698
0.015594192507617852,0.011477632173520108
0.015594192507617852,0.01165838228648893
0.016131923283742605,0.01192950745594216
0.016490410467825775,0.01211025756891098
0.01666965405986736,0.012200632625395391
0.016848897651908945,0.012381382738364212
0.016848897651908945,0.012471757794848621
0.01702814124395053,0.012562132851333032
0.017207384835992115,0.012742882964301852
0.017386628428033696,0.012833258020786264
0.017386628428033696,0.013014008133755084
0.017386628428033696,0.013194758246723904
0.017386628428033696,0.013285133303208314
0.018103602796200036,0.013646633529145956
0.018103602796200036,0.013737008585630366
0.01828284638824162,0.013827383642114777
0.018641333572324788,0.014008133755083597
0.018641333572324788,0.014098508811568006
0.018820577164366373,0.014279258924536829
0.018999820756407958,0.014550384093990058
0.019179064348449543,0.01464075915047447
0.019537551532532713,0.01482150926344329
0.019716795124574298,0.01500225937641211
0.020075282308657464,0.015273384545865342
0.02025452590069905,0.015544509715318571
0.020792256676823804,0.015906009941256214
0.021150743860906974,0.016086760054225033
