precision,recall
0.6648041336217255,1.0
0.6648239394303569,0.9999096249435155
0.66484375,0.9998192498870312
0.6648635653323717,0.9997288748305467
0.6648833854291897,0.9996384997740624
0.6649233543733093,0.9996384997740624
0.6649032102921727,0.9995481247175779
0.6649431852341731,0.9995481247175779
0.6649230399230399,0.9994577496610936
0.6649428743235117,0.9993673746046091
0.6649627134953091,0.9992769995481248
0.664982557440154,0.9991866244916403
0.665002406159769,0.9990962494351558
0.6649822535041809,0.9990058743786715
0.6650222596558778,0.9990058743786715
0.6650421179302046,0.998915499322187
0.6650619809844747,0.9988251242657027
0.6650818488204141,0.9987347492092182
0.6651017214397497,0.9986443741527339
0.665121598844209,0.9985539990962494
0.6651414810355207,0.9984636240397651
0.6651613680154143,0.9983732489832806
0.6651812597856197,0.9982828739267962
0.665201156347868,0.9981924988703118
0.6652210577038911,0.9981021238138273
0.6652409638554216,0.998011748757343
0.6652608748041933,0.9979213737008585
0.6652807905519402,0.9978309986443742
0.6653007111003977,0.9977406235878897
0.6653206364513018,0.9976502485314054
0.6653405666063894,0.9975598734749209
0.6653605015673981,0.9974694984184365
0.6653804413360666,0.9973791233619521
0.6654205607476635,0.9973791233619521
0.6654003859141341,0.9972887483054677
0.665420335303341,0.9971983732489833
0.6654402895054282,0.9971079981924988
0.6654602485221378,0.9970176231360145
0.6654802123552124,0.99692724807953
0.6655001810063955,0.9968368730230457
0.6655201544774318,0.9967464979665612
0.6655401327700664,0.9966561229100768
0.6655601158860454,0.9965657478535924
0.6655801038271157,0.996475372797108
0.6656000965950254,0.9963849977406236
0.6656200941915228,0.9962946226841392
0.6656400966183574,0.9962042476276548
0.6656601038772799,0.9961138725711703
0.6656801159700411,0.996023497514686
0.6657001328983931,0.9959331224582015
0.665720154664089,0.9958427474017171
0.6657401812688821,0.9957523723452327
0.6657199830805487,0.9956619972887483
0.6656997824510514,0.9955716222322639
0.6657400132954614,0.9955716222322639
0.6657600483529768,0.9954812471757795
0.665780088254851,0.9953908721192951
0.66575988393181,0.9953004970628107
0.6658001330028415,0.9953004970628107
0.6657799274486095,0.9952101220063263
0.6657999758132785,0.9951197469498418
0.6658200290275762,0.9950293718933574
0.6657998185666767,0.994938996836873
0.6658198754007137,0.9948486217803886
0.665799661263005,0.9947582467239042
0.6658197217180883,0.9946678716674198
0.6658397870280736,0.9945774966109354
0.6658800750287408,0.9945774966109354
0.6658598571947235,0.994487121554451
0.6658799322198015,0.9943967464979666
0.665900012105072,0.9943063714414822
0.6658797893589976,0.9942159963849977
0.6658998728736606,0.9941256213285133
0.6659199612520433,0.9940352462720289
0.6658997335916687,0.9939448712155445
0.665919825602519,0.9938544961590601
0.6659399224806202,0.9937641211025757
0.6659600242277408,0.9936737460460913
0.6659801308456506,0.9935833709896069
0.6660002423361202,0.9934929959331225
0.666020358700921,0.993402620876638
0.6660404799418252,0.9933122458201536
0.666060606060606,0.9932218707636692
0.6660807370590375,0.9931314957071848
0.6660604958477299,0.9930411206507004
0.6660806304940892,0.992950745594216
0.6661007700236464,0.9928603705377316
0.6661209144381784,0.9927699954812472
0.6661006670709521,0.9926796204247628
0.6661208151382824,0.9925892453682783
0.6661409680941405,0.992498870311794
0.6661611259403057,0.9924084952553095
0.6661812886785584,0.9923181201988251
0.6662014563106796,0.9922277451423407
0.6662216288384513,0.9921373700858563
0.6662418062636563,0.9920469950293719
0.6662619885880782,0.9919566199728875
0.6662821758135017,0.9918662449164031
0.6663023679417122,0.9917758698599186
0.666322564974496,0.9916854948034343
0.6663427669136402,0.9915951197469498
0.6663629737609329,0.9915047446904655
0.666383185518163,0.991414369633981
0.6664034021871202,0.9913239945774966
0.6664236237695953,0.9912336195210122
0.6664438502673797,0.9911432444645278
0.6664640816822657,0.9910528694080434
0.6664843180160467,0.9909624943515589
0.6665248313172452,0.9909624943515589
0.6665045592705168,0.9908721192950746
0.6665248054474708,0.9907817442385901
0.6665450565487049,0.9906913691821058
0.6665653125760156,0.9906009941256213
0.6665450343611263,0.990510619069137
0.6665652940818685,0.9904202440126525
0.6665450121654501,0.9903298689561681
0.6665652755809709,0.9902394938996837
0.6665449899616719,0.9901491188431992
0.6665652570733192,0.9900587437867149
0.666544967749787,0.9899683687302304
0.6665652385589095,0.9898779936737461
0.6665855143031041,0.9897876186172616
0.6666057949841734,0.9896972435607773
0.6666260806039206,0.9896068685042928
0.66664637116415,0.9895164934478085
0.6666260731900384,0.989426118391324
0.6666463674563059,0.9893357433348395
0.666626065773447,0.9892453682783552
0.6666666666666666,0.9892453682783552
0.6666869708229275,0.9891549932218707
0.6666666666666666,0.9890646181653864
0.6666869745339344,0.9889742431089019
0.6667072873507189,0.9888838680524176
0.66672760511883,0.9887934929959331
0.666747927840078,0.9887031179394488
0.6667682555162745,0.9886127428829643
0.6667885881492319,0.9885223678264798
0.6667682740962019,0.9884319927699955
0.6667479575661505,0.988341617713511
