fold,held_out_subject,init_mode,best_epoch,best_val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,n_test
1,YAC,pretrained,9,0.5160837523693523,0.6647398843930635,0.5,0.3993055555555556,692
2,YAG,pretrained,6,0.5363361623456717,0.647239263803681,0.5144500561167228,0.4723970508901277,978
3,YAK,pretrained,4,0.5217070591498509,0.45098039215686275,0.5596491228070175,0.44952205417321695,816
4,YDG,pretrained,6,0.5538686965072986,0.5562310030395137,0.5785982057328125,0.5494597343693983,987
5,YDR,pretrained,5,0.5182826531519517,0.659206510681587,0.4969233057267412,0.40294948989489676,983
6,YFR,pretrained,20,0.5660307868043826,0.636650868878357,0.5382619484302514,0.5108651830349944,633
7,YFS,pretrained,6,0.5655012911955484,0.66701244813278,0.5,0.4001244555071562,964
8,YHS,pretrained,8,0.5212791525725476,0.656912209889001,0.49690572030997565,0.4047585397911161,991
9,YIS,pretrained,5,0.5252112615665433,0.5328614762386249,0.6335020447085145,0.5283242078140872,989
10,YLS,pretrained,3,0.5313627494244562,0.6584362139917695,0.5036626129009316,0.4241377341251713,972
11,YMD,pretrained,16,0.5356882474686446,0.3762993762993763,0.4766148070745772,0.3615948184327883,962
12,YMS,pretrained,10,0.5553247283557579,0.6670103092783505,0.5,0.40012368583797153,970
13,YRH,pretrained,25,0.57201050760019,0.4916267942583732,0.566908650937689,0.4900148847330293,836
14,YRK,pretrained,25,0.5203610837987833,0.3702928870292887,0.5011104559748427,0.33508022774327123,956
15,YRP,pretrained,22,0.513497578013707,0.6628865979381443,0.5075543954578363,0.42875306838790544,970
16,YSD,pretrained,7,0.5116703167474798,0.627906976744186,0.49793236874438396,0.4586561001439807,989
17,YSL,pretrained,17,0.5272539284503392,0.4137577002053388,0.48737541528239203,0.4109704963105826,974
18,YTL,pretrained,3,0.5569174630190524,0.6558044806517311,0.5112061702593128,0.4550785739146424,982
